Horizon,Feature,Importance
45m,Electron_Flux,936
45m,Electron_Flux_lag_6h,451
45m,Electron_Flux_lag_45m,310
45m,AE_index_nT,295
45m,Electron_Flux_lag_3h,228
45m,Flow_pressure_nPa_mean_3h,226
45m,Electron_Flux_lag_24h,219
45m,Electron_Flux_lag_12h,217
45m,BZ_nT_GSM_mean_3h,192
45m,SYM_H_nT_mean_24h,186
45m,Speed_km_s_mean_24h,169
45m,SYM_H_nT_mean_3h,154
45m,Flow_pressure_nPa_std_24h,143
45m,SYM_H_nT_lag_3h,133
45m,Flow_pressure_nPa_lag_45m,126
45m,Speed_km_s_mean_3h,119
45m,Speed_km_s_lag_24h,118
45m,Speed_km_s_lag_12h,111
45m,SYM_H_nT_lag_12h,110
45m,Flow_pressure_nPa,110
45m,SYM_H_nT_lag_45m,109
45m,Flow_pressure_nPa_lag_3h,105
45m,BZ_nT_GSE,105
45m,SYM_H_nT,103
45m,Speed_km_s_lag_48h,103
45m,Speed_km_s_lag_6h,101
45m,SYM_H_nT_lag_48h,100
45m,Speed_km_s_std_24h,100
45m,SYM_H_nT_std_24h,100
45m,Flow_pressure_nPa_mean_24h,98
45m,BZ_nT_GSM_mean_24h,96
45m,Flow_pressure_nPa_lag_12h,93
45m,Proton_Density_n_cc,91
45m,Speed_km_s,83
45m,BZ_nT_GSM,83
45m,BZ_nT_GSM_lag_3h,83
45m,Flow_pressure_nPa_lag_48h,79
45m,SYM_H_nT_lag_6h,79
45m,BZ_nT_GSM_std_24h,79
45m,Speed_km_s_lag_45m,77
45m,SYM_H_nT_lag_24h,73
45m,Field_magnitude_average_nT,71
45m,BZ_nT_GSM_lag_12h,68
45m,BZ_nT_GSM_lag_48h,67
45m,BY_nT_GSE,65
45m,Flow_pressure_nPa_lag_24h,62
45m,BZ_nT_GSM_lag_45m,59
45m,Flow_pressure_nPa_lag_6h,58
45m,Speed_km_s_lag_3h,55
45m,BX_nT_GSE_GSM,51
45m,BY_nT_GSM,49
45m,Proton_Flux_lag_24h,41
45m,BZ_nT_GSM_lag_6h,41
45m,BZ_nT_GSM_lag_24h,39
45m,Proton_Flux,37
45m,Proton_Flux_lag_12h,29
45m,Proton_Flux_lag_3h,25
45m,Proton_Flux_lag_45m,15
45m,Proton_Flux_lag_6h,9
6h,Electron_Flux_lag_6h,764
6h,SYM_H_nT_mean_24h,576
6h,Speed_km_s_std_24h,523
6h,Speed_km_s_mean_24h,500
6h,Flow_pressure_nPa_std_24h,417
6h,BZ_nT_GSM_mean_24h,400
6h,Electron_Flux,370
6h,Electron_Flux_lag_3h,368
6h,Electron_Flux_lag_12h,356
6h,Electron_Flux_lag_24h,353
6h,SYM_H_nT_mean_3h,352
6h,Flow_pressure_nPa_mean_3h,332
6h,SYM_H_nT_std_24h,330
6h,Speed_km_s_lag_48h,298
6h,BZ_nT_GSM_mean_3h,290
6h,BZ_nT_GSM_std_24h,284
6h,Flow_pressure_nPa_mean_24h,271
6h,SYM_H_nT_lag_12h,242
6h,Field_magnitude_average_nT,223
6h,Speed_km_s_lag_12h,204
6h,Flow_pressure_nPa_lag_48h,200
6h,Speed_km_s_lag_24h,199
6h,SYM_H_nT_lag_6h,188
6h,SYM_H_nT_lag_3h,185
6h,SYM_H_nT,170
6h,Flow_pressure_nPa_lag_24h,169
6h,Speed_km_s_mean_3h,166
6h,Flow_pressure_nPa_lag_12h,166
6h,Flow_pressure_nPa_lag_3h,165
6h,Speed_km_s_lag_6h,148
6h,SYM_H_nT_lag_48h,145
6h,Proton_Density_n_cc,144
6h,Electron_Flux_lag_45m,143
6h,SYM_H_nT_lag_24h,135
6h,SYM_H_nT_lag_45m,131
6h,BX_nT_GSE_GSM,128
6h,BZ_nT_GSM_lag_3h,117
6h,Flow_pressure_nPa,116
6h,Speed_km_s,116
6h,BZ_nT_GSM_lag_6h,115
6h,AE_index_nT,115
6h,Flow_pressure_nPa_lag_6h,109
6h,BY_nT_GSM,109
6h,BZ_nT_GSM_lag_12h,102
6h,Flow_pressure_nPa_lag_45m,102
6h,BZ_nT_GSM_lag_24h,102
6h,BZ_nT_GSM_lag_48h,97
6h,Speed_km_s_lag_3h,95
6h,BY_nT_GSE,95
6h,Speed_km_s_lag_45m,85
6h,BZ_nT_GSE,79
6h,BZ_nT_GSM_lag_45m,79
6h,BZ_nT_GSM,68
6h,Proton_Flux_lag_6h,55
6h,Proton_Flux_lag_24h,53
6h,Proton_Flux,36
6h,Proton_Flux_lag_3h,34
6h,Proton_Flux_lag_12h,34
6h,Proton_Flux_lag_45m,28
12h,Electron_Flux_lag_12h,549
12h,SYM_H_nT_mean_24h,300
12h,BZ_nT_GSM_mean_24h,263
12h,Speed_km_s_mean_24h,255
12h,Electron_Flux_lag_24h,253
12h,Speed_km_s_std_24h,244
12h,SYM_H_nT_mean_3h,237
12h,SYM_H_nT_std_24h,216
12h,Electron_Flux,195
12h,Flow_pressure_nPa_mean_24h,192
12h,BZ_nT_GSM_std_24h,191
12h,Electron_Flux_lag_45m,184
12h,Flow_pressure_nPa_std_24h,181
12h,Speed_km_s_mean_3h,160
12h,Electron_Flux_lag_6h,158
12h,Speed_km_s_lag_48h,134
12h,Speed_km_s_lag_12h,132
12h,BZ_nT_GSM_mean_3h,131
12h,Electron_Flux_lag_3h,123
12h,Flow_pressure_nPa_lag_48h,118
12h,SYM_H_nT_lag_6h,117
12h,SYM_H_nT,115
12h,Flow_pressure_nPa_mean_3h,114
12h,Speed_km_s_lag_24h,114
12h,SYM_H_nT_lag_12h,111
12h,Speed_km_s_lag_6h,108
12h,Speed_km_s,106
12h,Flow_pressure_nPa_lag_24h,99
12h,SYM_H_nT_lag_24h,95
12h,Flow_pressure_nPa_lag_6h,95
12h,Speed_km_s_lag_3h,94
12h,Field_magnitude_average_nT,87
12h,Flow_pressure_nPa_lag_12h,80
12h,SYM_H_nT_lag_3h,71
12h,Flow_pressure_nPa_lag_3h,69
12h,SYM_H_nT_lag_48h,67
12h,BY_nT_GSE,59
12h,BZ_nT_GSM_lag_48h,58
12h,BX_nT_GSE_GSM,58
12h,Proton_Density_n_cc,58
12h,Proton_Flux_lag_12h,55
12h,BZ_nT_GSE,48
12h,BY_nT_GSM,43
12h,AE_index_nT,41
12h,SYM_H_nT_lag_45m,37
12h,BZ_nT_GSM_lag_12h,36
12h,Speed_km_s_lag_45m,35
12h,BZ_nT_GSM_lag_24h,31
12h,BZ_nT_GSM,29
12h,BZ_nT_GSM_lag_6h,26
12h,Flow_pressure_nPa_lag_45m,24
12h,Proton_Flux_lag_24h,24
12h,BZ_nT_GSM_lag_45m,23
12h,Flow_pressure_nPa,21
12h,Proton_Flux_lag_6h,20
12h,BZ_nT_GSM_lag_3h,18
12h,Proton_Flux_lag_45m,17
12h,Proton_Flux_lag_3h,16
12h,Proton_Flux,10
